written report . ||| kursen examineras i form av en skriftlig rapport
scheduled teaching comprises lectures , demonstrations , and supervised simulation and coding exercises ; ||| schemalagd undervisning består av föreläsningar , demonstrationer och handledda simulerings- och kodningsövningar .
and also supervised mandatory laboratory . ||| dessutom utförs handledda obligatoriska laborationer .
during the course , the student designs progressively bigger and bigger building blocks of software in c and assembler . ||| under kursen konstruerar eleven större och större programblock i assembler och c .
the theory is acquired through lectures and demonstrations . ||| teorin inhämtas genom föreläsningar och demonstrationer .
the student designs the blocks then carries out tests with the aid of simulators during simulation exercises . ||| eleven konstruerar sina programoch testar dessa med hjälp av simulatorer under simuleringsövningar och självstudier .
in preparation for laboratory exercises the student will finally adapt the software in order to enable hardware verification of the function . ||| inför laborationer anpassar eleven sina program så att funktionen dessutom kan verifieras i hårdvara .
mathematical models are used in science and engineering to describe and represent different objects and systems , to analyze , understand and predict , and for finding the best design or strategy . ||| matematiska modeller används inom vetenskap och ingenjörskonst för att beskriva och representera olika slags objekt och system , för att analysera , förstå och förutsäga , samt för att hitta den bästa konstruktionen eller strategin .
mathematical modelling is therefore a basic engineering skill . ||| matematisk modellering är därför en grundläggande ingenjörsfärdighet .
with carefully selected exercises this course teaches mathematical modelling as a tool for solving real problems . ||| med noggrant utvalda övningsuppgifter lär denna kurs ut matematisk modellering som ett verktyg för att lösa verkliga problem .
problems are taken from computing and traditional engineering disciplines , as well as from other areas , such as economy , medicine and games . ||| problemen är tagna från datavetenskap och traditionella ingenjörsämnen , liksom från ekonomi , medicin och spel .
the course is primarily intended as an introduction to mathematical modelling for students with limited experience in the use of mathematics in engineering , but which may come to work in different areas where mathematics is useful . ||| kursen är främst avsedd som en introduktion till matematisk modellering för studenter med begränsad erfarenhet av hur matematiken används inom olika ingenjörsområden , men som kan komma att arbeta inom olika områden där matematisk modellering är användbart .
with application oriented exercises , and by teaching modelling and problem solving , the course then bridges the gap between the theoretical courses in mathematics and relevant applications . ||| med tillämpningsorienterade uppgifter , och genom att lära ut modellering och problemlösning , fyller då kursen igen luckan mellan de teoretiska matematikkurserna och relevanta tillämpningar .
for the most updated information about the course , please see the course home page . ||| för den mest aktuella informationen om kursen , se kursens hemsida .
the core of the course is a number of application oriented exercises . ||| kursens kärna är ett antal tillämpningsorienterade övningsuppgifter .
they are formulated in an exploratory style , and have been carefully selected to develop the modelling and problem solving skills of the student . ||| uppgifterna är formulerade på ett utforskande sätt , och har noggrant valts för att utveckla studentens förmåga att modellera och lösa problem .
the exercises are organized after the main model types ( in the list i have added some keywords to roughly indicate the more detailed scope ) : ||| övningarna grupperas efter huvudsakliga modelltyper ( i listan nedan har jag lagt till nyckelord för att grovt indikera omfånget ) :
* functions and equations . ||| * funktioner och ekvationer .
the significance of different kinds of mathematical expressions and how they can be motivated . ||| betydelsen av olika matematiska uttryck och hur de kan motiveras .
how to find and fit functions to empirical data . ||| hur man kan finna och anpassa funktioner till experimentella data .
curves in computer graphics . ||| kurvor inom datorgrafik .
* optimization models . ||| * optimeringsmodeller .
mathematical programming in economics and decision support . ||| matematisk programmering inom ekonomi och beslutsstöd .
* dynamic models . ||| * dynamiska modeller .
simulation in biology , physics and engineering . ||| simulering inom biologi , fysik och teknik
* probability models . ||| * probabilistiska modeller .
stochastic simulation . ||| stokastisk simulering .
markov models for texts , language and expert systems . ||| markovmodeller för texter , språk och expertsystem .
bayesian inference . ||| bayesiansk inferens .
* discrete models . ||| * diskreta modeller .
graphs and networks for modelling projects and activities , modelling with discrete standard problems and boolean logic , planning . ||| grafer och nät för modellering av projekt och aktiviteter , modellering med diskreta standardproblem och satslogik , planering .
* modelling languages . ||| * modelleringsspråk .
for optimization and rule based expert systems . ||| för bland annat optimering och regelbaserade expertsystem .
we also discuss different problem solving strategies , reflect on solutions and compare different ways to solve the same problem . ||| vi diskuterar också olika problemlösningsstrategier , reflekterar över lösningar och jämför olika sätt att lösa samma problem .
the course also demonstrates the importance of building mathematical computer models for different kinds of applications . ||| i kursen visar vi också betydelsen av matematiska datormodeller för olika tillämpningar .
passed exercise assignments . ||| godkända övningsuppgifter .
the course ends with an individual summarizing report , where the student is encouraged to summarize and reflect on the course from a personal perspective . ||| kursen avslutas med en individuell sammanfattande uppsats , där studenten uppmuntras att sammanfatta och reflektera över kursen på ett personligt sätt .
see the course home page for grading criteria . ||| för betygskriterier , se kursens hemsida .
the course gives the student : ||| kursen ger studenten :
* a systematic view of different kinds of mathematical models , and how they can be used in different areas of application . ||| * en systematisk bild av olika slags matematiska modeller , och hur de kan användas inom olika områden .
attention not only to classical mathematical modelling , but also to models common in computer science . ||| uppmärksamhet ges inte enbart klassiska matematiska modeller , utan också modeller som är vanliga inom datavetenskapen .
* ability to create , use and evaluate mathematical models in different and possibly new areas of application . ||| * förmåga att skapa , använda och utvärdera matematiska modeller inom olika och eventuellt nya tillämpningsområden .
* improved general ability to solve mathematical problems . ||| * ökad allmän förmåga att lösa matematiska problem .
* perspective on the role of mathematical modelling and mathematics in general , and for the professional engineer . ||| * perspektiv på betydelsen av matematisk modellering och matematik i allmänhet , och för ingenjörens yrkesutövning .
note that the emphasis of the course is to learn new and non-trivial skills . ||| notera att tyngdpunkten i kursen ligger på att lära sig nya och icke-triviala färdigheter .
the progress towards the goals is appropriately assessed in different ways during the course . ||| studentens framåtskridande i förhållande till målen utvärderas löpande under kursen på lämpliga sätt .
the course is organized in weekly modules , one for every model type . ||| kursen är organiserad i veckomoduler , en för varje modelltyp .
a module is defined by an introductory lecture , exercises for the week , and a compulsory follow-up exercise giving feedback to the solved exercises . ||| en modul defineras av en inledande föreläsning , övningsuppgifter att lösa under veckan , samt en uppföljande obligatorisk föreläsning som ger återkoppling på de lösta uppgifterna .
the exercises are done in groups of two persons . ||| övningarna genomförs i grupper om två personer .
the course also contains introductory and final lectures . ||| i kursen ingår även inledande och avslutande föreläsningar .
an emphasis is placed on an interactive teaching style with a lot of direct contact between students and teachers . ||| i kursen betonas en interaktiv undervisningsstil med mycket kontakt mellan studenter och lärare .
this is done in supervision sessions where students solve the exercises and regularly discuss with the teachers . ||| detta sker under handledningstimmar där studenter löser uppgifterna och regelbundet diskuterar med lärarna .
they can then receive individual feedback and appropriate guidance in their own problem solving . ||| de får då individuell återkoppling och vägledning i sin egen problemlösning .
the assessment of exercises has been adapted to encourage creativity and independent problem solving . ||| examinationen av uppgifterna har anpassats för att uppmuntra kreativitet och oberoende problemlösning .
as a follow up to each module , the students are asked to reflect on their own and alternative solutions , and on their own problem solving . ||| som uppföljning till varje modul får studenterna reflektera över sina egna och alternativa lösningar , och över sin egen problemlösning .
while the main teaching language is swedish , some support can be given also in english , so it is possible to take the course in english for the interested student . ||| det huvudsakliga undervisningsspråket är svenska , men visst stöd kan ges även på engelska , så det är möjligt för en intresserad student att ta kursen på engelska .
the compulsory courses in mathematics on the software engineering programme or their equivalent ( i.e. discrete mathematics , linear algebra , analysis and mathematical statistics ) . ||| de obligatoriska matematikkurserna på it-programmet eller motsvarande ( dvs. diskret matematik , linjär algebra , analys och matematisk statistik ) .
a course in algorithms and data structures complements this course in a good way , but is not a requirement . ||| en kurs i algoritmer och datastrukturer kompletterar denna kurs på ett bra sätt , men är inte förkunskapskrav .
to learn about common abstract data types , data structures and algorithms . ||| att lära sig om vanliga abstrakta datatyper , datastrukturer och algoritmer .
abstract data types . ||| abstrakta datatyper .
simple complexity analysis . ||| enkel komplexitetsanalys .
common data structures such as arrays , lists , trees , hash tables and how these can be used to implement abstract data types such as stacks , queues , priority queues , dictionaries and graphs . ||| vanliga datastrukturer som fält , listor , träd och hashtabeller samt hur dessa kan användas för att implementera abstrakta datatyper som köer , prioritetsköer , lexika och grafer .
standard algorithms for these data structures and their resource demands . ||| standardalgoritmer för dessa datastrukturer och deras resurskrav .
iterators . ||| iteratorer .
sorting algorithms . ||| sorteringsalgoritmer .
standard libraries for data structures and algorithms . ||| standardbibliotek för datastrukturer och algoritmer .
understand and use some basic abstract data types and data structures , including lists , queues , tables , trees and graphs . ||| förstå och använda några grundläggande abstrakta datatyper och datastrukturer , bland annat listor , köer , tabeller , träd och grafer .
understand and use some of the algorithms used to manipulate and query basic data structures in an efficient way , and understand why they are correct . ||| förstå och använda några av de algoritmer som används för att hantera grundläggande datastrukturer på ett effektivt sätt , och förstå varför de är korrekta .
analyse the efficiency of ( some ) algorithms . ||| analysera ( vissa ) algoritmers effektivitet .
make informed choices between different data structures and algorithms for different applications . ||| göra välgrundade val mellan olika datastrukturer och algoritmer för olika tillämpningar .
implement abstract data types as interfaces , and data structures as classes , in an object-oriented programming language . ||| implementera abstrakta datatyper som gränssnitt , och datastrukturer som klasser , i ett objektorienterat programmeringsspråk .
programming using object-oriented language ( preferably java ) . ||| programmering i objektorienterat språk ( helst java ) .
basic mathematical concepts like sets , functions , relations , graphs , logarithms and proofs by induction . ||| grundläggande matematiska begrepp som mängder , funktioner , relationer , grafer , logaritmer och induktionsbevis .
the aim of this course is to teach the fundamental principles of the object oriented approach to program development , and how to construct object oriented programs . ||| kursens syfte är att lära ut grundprinciperna för det objektorienterade synsättet och hur man konstruerar objektorienterade program .
object oriented development methods are widely spread and take a strong position today . ||| det objektorienterade synsättet har idag en mycket stark ställning när det gäller programutveckling .
object oriented programs consist of a collection of cooperating objects . ||| program som är uppbyggda enligt objektorienterade principer består av ett antal samverkande objekt .
the objects encapsulate data together with methods for accessing and updating the data . ||| objekten kapslar in data och erbjuder metoder för att avläsa och uppdatera dem .
objects are described by data types called classes . ||| objekten beskrivs av s.k. klasser .
programs are coded in java . ||| i kursen används programspråket java .
fundamental concepts in object oriented programming development . ||| grundläggande begrepp i objektorienterad programutveckling .
the concepts of object and class , data encapsulation . ||| objekt och klass , datainkapsling .
constructors , methods , and fields . ||| konstruktorer , metoder , instansvariabler , klassvariabler .
modularisation of programs . ||| modularisering av program .
standards for coding style , naming and commenting . ||| kodningsstandard , namnsättning och kommentering .
program testing . ||| testning av program .
inheritance , dynamic binding and polymorphism . ||| arv , dynamisk bindning och polymorfism .
abstract classes and interfaces . ||| abstrakta klasser och gränssnitt .
graphical user interfaces . ||| grafiska användargränssnitt .
events and listeners . ||| händelser och lyssnare .
the model-view-controller architecture for programs with graphical user interfaces . ||| model-view-controller-arkitekturen för program med grafiska användargränssnitt .
exception handling . ||| felhantering .
streams and files . ||| strömmar och filer .
introduction to active objects and threads . ||| något om aktiva objekt och trådar .
modelling in uml , an orientation . ||| orientering om modellering i uml .
mandatory assignments and written exam . ||| skriftlig tentamen .
independently construct object oriented programs which uses classes constructed with one's own hand , together with various standard classes . ||| självständigt konstruera objektorienterade program som både använder sig av egenhändigt konstruerade klasser och av färdiga standardklasser .
construct event driven programs with graphical user interfaces . ||| konstruera händelsestyrda program med grafiska användargränssnitt .
use standard classes for data collections , streams , and files . ||| använda standardklasser för bl.a. datasamlingar , strömmar och filer .
search information about standard classes in the java api . ||| söka information om standardklasser i java api .
use some commonly available code development tools . ||| använda några vanligt förekommande kodutvecklingsverktyg .
describe simple object oriented models in an object oriented modelling language . ||| beskriva enkla objektorienterade modeller i ett objektorienterat modelleringsspråk .
object oriented methodology is now commonly used for the development of a variety of systems . ||| objektorienterad metodik används numera allmänt vid utveckling av många olika typer av system .
uml is used for modelling and java for coding . ||| i kursen används java som programmeringsspråk och uml som modelleringsspråk .
fundamental concepts in object oriented programming . ||| grundläggande begrepp i objektorienterad programutveckling .
constructors , methods and fields . ||| konstruktorer , metoder , instans- och klassvariabler .
the modelling language uml . ||| modelleringsspråket uml .
modularisation of programs using packages . ||| modularisering av program med paket .
inheritance , dynamic binding and polymorphism . ||| arv , dynamisk bindning och polymorfism .
standard class libraries and their documentation . ||| användning av standardbibliotek och deras dokumentation .
documentation of programs using javadoc . ||| dokumentation av program med javadoc .
standards for coding style , naming and commenting . ||| kodningsstandard , namnsättning och kommentering .
program testing . ||| testning av program .
structured exception handling . ||| strukturerad felhantering .
the structural concepts cohesion , coupling and refactoring . ||| de strukturella begreppen kohesion , koppling och refaktorering .
mandatory assignments and written exam . ||| skriftlig tentamen .
final grade is obtained after passed assignments and is based on the grade of the written exam . ||| slutbetyg i skala 3-5 ges efter godkända inlämningsuppgifter och baseras på tentamen .
construct small object oriented programs . ||| konstruera små objektorienterade program .
use a commonly available computer based program development tool . ||| använda några vanligt förekommande programutvecklingsverktyg .
master techniques for data encapsulation , inheritance and polymorphism in an object oriented programming language . ||| behärska tekniker för datainkapsling , arv och polymorfism i ett objektorienterat programmeringsspråk .
construct simple object oriented models in a graphical modelling language . ||| konstruera enkla objektorienterade modeller i ett grafiskt modelleringsspråk .
uml is used for modelling and java for coding . ||| i kursen används java som programmeringsspråk och uml som modelleringsspråk .
object oriented modelling in uml . ||| objektorienterad modellering i uml .
graphical user interfaces . ||| grafiska användargränssnitt .
the model-view-controller architecture . ||| model-view-controller-arkitekturen .
streams and files . ||| strömmar och filer .
parallel programming . ||| parallprogrammering .
active objects and threads . ||| aktiva objekt och trådar .
communication . ||| kommunikation .
ports , sockets , datagram , multicasting , client-server . ||| portar , socketar , datagram , multicasting , client-server .
reflection and class loading . ||| reflektion och klassladdning .
mandatory assignments , a project and written exam . ||| skriftlig tentamen .
final grade is obtained after passed assignments and project and is based on the grade of the written exam . ||| slutbetyg i skala 3-5 ges efter godkända inlämningsuppgifter och projekt och baseras på tentamen .
construct object oriented programs with graphical user interfaces and threads . ||| konstruera objektorienterade program med grafiska användargränssnitt och trådstruktur .
construct object oriented models in a graphical modelling language . ||| konstruera objektorienterade modeller i ett grafiskt modelleringsspråk .
use commonly available computer based program development tools . ||| använda några vanliga förekommande datorbaserade verktyg för objektorienterad metodik .
perform program development in a project group . ||| arbeta med programutveckling i projektgrupp .
in recent years , powerful tools for verifying software and hardware systems have been developed . ||| under de senaste åren har kraftfulla verktyg för verifikation av programvaru- och hårdvarusystem utvecklats .
these tools rely in a crucial way in logical techniques . ||| dessa verktyg förlitar sig på ett avgörande sätt i logiska tekniker .
this course provides a sound basis in logic and a short introduction to some logical frameworks used in modelling , specifying and verifying computer systems . ||| kursen ger en god grund i logik och en kort introduktion till några logiska ramverk som används för att modellera , specificera och modellera datorsystem .
a sound basic knowledge in logic is a welcome prerequisite for courses in program verification , formal methods and artificial intelligence . ||| grundläggande kunskaper i logik är en god grund för kurser i programverifiering , formella metoder och artificiell intelligens .
we cover : propositional logic ( sections 1.1 to 1.5 ) , predicate logic ( sections 2.1 to 2.6 ) and model-checking ( sections 3.2 and 3.4 ) . ||| vi täcker : satslogik ( avsnitt 1,1-1,5 ) , predikatlogik ( avsnitt 2,1-2,6 ) och model-checking ( avsnitten 3.2 och 3.4) .
the students should be able to understand and use formal tools for checking software and hardware , such as sat-solver and model checking tools ( used in software engineering ) . ||| studenterna ska kunna förstå och använda formella verktyg för kontroll av mjukvara och hårdvara , såsom sat-lösare och " model checking tools " ( som används i programvaruteknik ) .
theyshould also be able to explain the meaning of soundness and completeness for various logic ( propositional , predicate and temporal logic ) and to write derivation trees in natural deduction in predicate logic . ||| de skall också kunna förklara innebörden av sundhet och fullständighet för olika logiker ( sats- , predikat- och temporal logik ) och skriva härledningar i naturlig deduktion i predikatlogik .
the requirement for the course is to have successfully completed two years with the subject computer science or equivalent . ||| kravet för kursen är att ha framgångsrikt slutfört två år med ämnet datavetenskap eller motsvarande .
particularly relevant are mathematics ( including discrete mathematics ) , programming , algorithms and/or data structures . ||| särskilt relevant är matematik ( inklusive diskret matematik ) , programmering , algoritmer och / eller datastrukturer .
the work involves both the organization and leading of the project and the development of the product as such . ||| i projektarbetet ingår såväl organisation och ledning av projektet som själva utvecklingsarbetet .
another aim is to give sufficient knowledge in the formulation of problems , searching for information , reporting , documentation and other areas relevant to the upcoming thesis work . ||| ytterligare ett syfte är att ge tillräckliga kunskaper om problemformulering , informationssökning , rapportering , dokumentation etc. för att självständigt kunna genomföra efterföljande examensarbete .
the course shall give the student practical experience form working in a project group when it comes to planning , construction , implementation and verification of a non-trivial system of hard - and/or software . ||| generellt sett ska kursen ge den studerande praktisk erfarenhet av arbete i projektgrupp för planering , konstruktion , implementering och verifiering av ett icke-trivialt system bestående av hård- och/eller mjukvara .
working in a project : ||| arbete i projekt :
information search ||| informationssökning .
the writing of reports and oral presentation ||| rapportskrivning samt muntlig presentation .
if a project group or an individual participant doesn't pass the exam directions will be given on what additional work that is needed to get a grade . ||| vid underkänt betyg ( för gruppen eller enskild individ ) ges första gången anvisningar för vilka kompletteringar som skall genomföras för att erhålla godkänt betyg .
identify and formulate a project assignment ||| identifiera och formulera en projektuppgift
distribute roles within the group and develop rules for corporation ||| fördela roller i arbetsgruppen och fastlägga samarbetsprinciper
make a time plan ||| göra tidsplanering
identify required knowledge and find the relevant information ||| identifiera kunskapsbehov och söka information
develop and evaluate suggestions for solutions to the problem at hand , carry through the development process and evaluate the solutions ||| ta fram och värdera lösningsförslag , genomföra samt utvärdera lösningar
handle oral and written presentations ||| genomföra muntliga och skriftliga redovisningar
the projects are run in groups of 4 - 8 students . ||| projekten genomförs i grupper om 4-6 teknologer .
every project group has a orderer and a main tutor . ||| varje projekt har en beställare och en huvudhandledare .
each student choose a project assignment from a list of projects on offer and can also give his/her own proposals . ||| studenten väljer projekt från ett antal erbjudna projekt och kan också komma med egna förslag .
projects groups of 4-8 students are formed . ||| projektgrupper om 4-6 studenter formas .
the course presents some possible approaches to developing a web application . ||| kursen presenterar några olika utvecklingsalternativ för en web applikation .
for each approach design is discussed and and a couple of techniques are presented . ||| för varje alternativ diskuteras designfrågor och ett antal tekniker presenteras .
the course emphasize hands-on work using modern advanced development environments and server environments . ||| kursen innehåller praktisk arbete i avancerade utvecklingsmiljöer och server-miljöer .
the main content of the course is ; design , implementation , configuration , deployment , execution and trouble shooting . ||| design , implementation , konfigurering , driftsättning , exekvering och felsökning av web-applikationer utgör huvuddelen av kursen .
content at a glance ; ||| övergripande innehåll :
standards , platforms , frameworks , architecture , design , approaches and more .... ||| standards , plattformar , ramverk , arkitektur , design , utvecklingsalternativ , m.m.
client side technologies ( html , css , javascript , ajax , and more ) ||| tekniker för klientsidan ( html , css , javascript , ajax , m.fl. )
server side technologies ( java servlet api , java server faces , web services , rest and more ) ||| tekniker för serversidan ( java servlet api , java server faces , webservices , rest , m.fl. )
possibly emerging technologies . ||| eventuella " emerging technologies "
passed assignments and project . ||| godkända inlämningsuppgifter och projekt .
grade : u-5 . ||| betyg : u-5 .
grade is decided from the project . ||| betyg ges av projektet
do a sensible choice between the presented approaches and techniques for a modern web application . ||| efter kursen skall man , utifrån de presenterade utvecklingsalternativen och teknikerna , kunna göra medvetna val då man utvecklar en web applikation .
as a result of the choice ; design , implement , deploy and debug a basic web application . ||| utfrån detta val designa , implementera , driftsätta och felsöka en enklare web applikation .
on a basic level be able to find and use open specifications and standards from the area ||| på en grundläggande nivå söka efter och använda öppna standards och specifikationer inom web området .
lectures , assignments and a final project . ||| kursen ges i form av föreläsningar , datorövningar ( inlämningsuppgifter ) och ett avslutande projekt .
- good programming skills in java . ||| - minst 7,5 hp java .
- knowledge in ooa/d and uml . ||| - grundläggande kunskaper i ooa / d och uml .
courses dat050 , dat055 , let375 , leu061 , tda357 or equivalent . ||| lämpliga kurser är dat050 , dat055 , let375 , leu061,tda357 .
in this course the students do a project in limited time . ||| i denna kurs ska studenten genomföra ett projektarbete inom en begränsad tid .
the subject can be freely chosen within computer science and engineering , and suggested by the students themselves or by potential supervisors . ||| ämnet är fritt valt inom datavetenskap eller datateknik , och kan antingen vara föreslaget av en potentiell handledare eller av studenten själv .
the project shall be on a nontrivial level . ||| projektet skall vara icke-trivialt .
the project can be done in small groups , with the understanding that all group members contribute substantially , or individually . ||| projektet kan göras i en liten grupp där samtliga medlemmar bidrar substansiellt , eller individuellt .
a final report must be delivered and also presented orally . ||| projektet redovisas genom en slutrapport samt en muntlig presentation .
contents , depth and clarity will count . ||| bedömning sker efter innehåll , djup och tydligehet .
the subject can be freely chosen within the area of computer science and engineering . ||| projektets ämne kan väljas fritt inom områdena datavetenskap och datateknik .
the project can either suggested by the students themselves or by a potential supervisor . ||| projektet kan antingen föreslås av studenten själv eller av en handledare .
written report and some oral presentation . ||| skriftlig rapport och muntlig presentation .
the supervisor will recommend a final grade for the project for approval by the course examiner . ||| handledaren rekomenderar ett slutbetyg för projektet , vilket sedan ska godkännas av kursens examinator .
work on a complex task which has a clear goal but in general no predefined result , ||| arbeta med ett komplext problem som har ett klart mål men inget fördefinierat resultat
integrate knowledge from disparate fields if appropriate , ||| integrera kunskap från olika områden om det behövs
apply and strengthen various skills , such as ||| tillämpa och stärka förmågor som t.ex.
problem recognition and problem solving ||| att känna igen och lösa ett problem
modelling av problem ||| modellering av problem
application and adaptation of textbook methods ||| tillämpning och anpassning av kända metoder
independent literature investigation ||| oberoende litteratursökning
implementation of software and use of existing software packages ||| implementering av mjukvara och användande av existerande mjukvarupaket
testing av mjukvara ||| testning av mjukvara
drawing conclusions from experimental results . ||| att dra slutsatser från experimentella resultat .
plan the steps of a complex work , set up intermediate goals and keep the project running , come to realistic estimates of resources and achievable results , revise goals and develop work-arounds if necessary , ||| planera ett komplext arbete , sätta upp delmål och hålla projektet igång , göra realistiska bedömningar om resurskrav och möjliga resultat , revision av mål och att hitta andra angreppssätt om nödvändigt .
communicate and present the results efficiently , both in writing and orally ||| kommunicera och presentera resultaten effektivt , både skriftligt och muntlig
document the work in such a way that others can build on it later on . ||| dokumentera arbetet så att andra kan bygga vidare på resultatet
students have to find a supervisor by themselves . ||| studenten måste själv hitta en handledare .
to apply for the course , the student must have arranged a teacher who is willing to supervise the project . ||| för att söka kursen ska studenten ha hittat en lärare som är villig att agera som handledare för projektet .
the overall aim of this course is to introduce the student to the design and verification of electronic systems . ||| kursens övergripande syfte är att introducera studenten till konstruktion och verifiering av elektroniksystem .
the course is intended to give a solid foundation in hdl-based hardware design , which is necessary for the courses that follow it in the eesd curriculum , while simultaneously giving an overview of the field of electronic system design . ||| kursen avses ge en stabil grund i hdl-baserad hårdvarukonstruktion , vilket är nödvändigt för följande kurser i eesd-programmet , och samtidigt ge en överblick över konstruktion av inbyggda elektroniksystem .
- suggest how to select among different technology platforms ( fpga , asic , software on processor , pcb , ... ) , based on parameters such as design , production , and power costs for different technologies . ||| - föreslå val av implementationsplattform ( fpga , asic , mjukvara på processor , kretskort ) med utgångspunkt i kostnader för design , produktion och effektförsörjning för olika alternativ .
- describe the implementation steps required for the design , verification and test of a complex electronic system , and how these steps are related to each other . ||| - beskriva de implementationssteg som krävs för konstruktion , verifiering och test av ett komplext elektroniksystem , och hur dessa steg relateras till varandra .
- describe how electronic system design projects may be organized and steered . ||| - beskriva hur konstruktionsprojekt för elektroniksystem kan organiseras och styras .
- discuss power delivery and heat removal in electronic systems , and how these design aspects can determine the best implementation strategy . ||| - diskutera kraftförsörjning och kylning i elektroniksystem , och hur dessa designaspekter kan avgöra valet av implementationsstrategier .
- implement digital parts of an electronic system , using hardware description languages ( hdls ) and test benches as well as basic electronic design automation ( eda ) tools , such as hdl simulators and synthesis tools . ||| - implementera digitala delar av elektroniksystem med hjälp av hårdvarubeskrivande språk ( hdler ) och testbänkar samt enkla konstruktionsverktyg ( eda-verktyg ) , såsom hdl-simulatorer och syntesverktyg .
- describe how basic system-oriented design can be carried out using model-based design and simulation tools which are interfaced to hardware implementation tools . ||| - redogöra för hur konstruktion kan genomföras på systemnivå med hjälp av verktyg för modellbaserad konstruktion och simuleringsverktyg som angör till verktyg hårdvarukonstruktion enligt ovan .
a lab series improves hdl and eda tool proficiency ; a lecture series provides the overview . ||| en labserie förbättrar och säkerställer studentens verktygsvana ; en föreläsningsserie ger överblicken över fältet .
the first half of the lab series is carried out individually , and the second half is carried out in groups of two . ||| den första halvan av labserien genomförs individuellt , och den andra halvan genomförs i par .
basic courses in logic design and electronic circuits . ||| grundkurser i logikkonstruktion och elektronikkretsar .
basic training in hardware description languages ( vhdl or verilog ) . ||| grundläggande färdigheter i hårdvarubeskrivande språk ( vhdl eller verilog ) .
the overall aim of the course is that the students should learn how to critically and creatively identify , formulate , and solve a complex design problem . ||| kursen övergripande syfte är att studenterna skall lära sig att kritiskt , oberoende och kreativt identifiera , formulera och lösa ett komplext konstruktionsproblem .
this is achieved by letting groups of students put the training from the fall to use in designing a complete embedded electronic system . ||| detta uppnås genom att studenterna får tillämpa sina teoretiska kunskaper från hösten genom att konstruera ett komplext elektroniskt system i ett grupprojekt .
although the project goal varies from year to year , the technical area of the project spans from embedded software to technology platforms such as fpgas and asics . ||| trots att projektets mål varieras år från år , spänner dess teknikinnehåll ändock från inbyggd mjukvara till teknologiplattformar såsom fpga och asic .
this is a course where the students in teams undertake an electronic product prototype design . ||| i denna kurs designar studentgrupper en elektronisk produktprototyp .
from product specification , functional design , detailed design , and all the way to implementation . ||| från specifikation , funktionell design , detaljdesign ändå fram till implementation .
the target technologies are fpga , and/or asic ( digital or analog ) . ||| målteknologierna är fpga och / eller asic ( digital eller analog ) .
to pass , a number of compulsory tasks have to be fulfilled by the team , ||| för godkänt på kursen måste varje team genomföra ett antal uppgifter .
including : submitting half-time report ( s ) , and a final report , and getting them approved ; ||| dessa omfattar : till deadline leverera halvtidsrapport ( er ) , och slutrapport ( er ) och få dessa godkända ;
